Deboo.,pauliiiie,Thu Jul 27 20:37:56 +0000 2017,"RT @Itssvy_: Les gens qui disent on fait pas 'overdose avec la weed' faite attention mon ami est mort de ça récemment. Si vous kiffez vs tu…"
gabriela,michonnre,Thu Jul 27 20:37:52 +0000 2017,"RT @semideuses: e até hj não se fala que ela morreu de bulimia. vc pode perguntar pra qualquer pessoa o motivo da morte dela que a resposta…"
libertynews,alllibertynews,Thu Jul 27 20:37:41 +0000 2017,"RT @GovJVentura: In Portugal, only THREE out of every million people die of a drug overdose after decriminalizing all drugs took effect. RE…"
Theresa M.,Theresa08178331,Thu Jul 27 20:37:35 +0000 2017,"@ShipitRideout @SheriffClarke @realDonaldTrump Of course he won't discuss all the white people dying from heroin ov… https://t.co/PCqVifwD5g"
Mitch,_nsakie,Thu Jul 27 20:36:59 +0000 2017,"RT @7th_artist: @Afadjato https://t.co/A6h7j8nFzH"
bruna,semideuses,Thu Jul 27 20:36:56 +0000 2017,"e até hj não se fala que ela morreu de bulimia. vc pode perguntar pra qualquer pessoa o motivo da morte dela que a resposta será "overdose""
luiza; THE WAR,favbaekh,Thu Jul 27 20:36:54 +0000 2017,"overdose #exo https://t.co/Mtg0WwPUzd"
Chunky Wet Exo Shit,sehunsbigcock,Thu Jul 27 20:36:51 +0000 2017,"RT @exofancy: Yo, la primera vez que escuché Overdose: https://t.co/uReaqbBmQK"
Yuni 🌸,minhanh_yuni,Thu Jul 27 20:36:44 +0000 2017,"Overdose de Game of Thrones. J'ai envie que tout le monde meure dans cette série."
Matthew Peddie,matthew_peddie,Thu Jul 27 20:36:41 +0000 2017,"RT @PaulBrinkmann: #BREAKING -- Mom arrested a year after Kissimmee 3-month-old dies of @fentanyl overdose https://t.co/zJAjbxf7u6   VIA @B…"
Jasmine Sweet,jasminekatrina,Thu Jul 27 20:36:37 +0000 2017,"RT @people: Lamar Odom Was 'Surprised' to See Khloé Kardashian at His Bedside After 'All the S— I Had Done' Before Overdose https://t.co/zS…"
MissDo,MissDodita12,Thu Jul 27 20:36:17 +0000 2017,"RT @exofancy: Yo, la primera vez que escuché Overdose: https://t.co/uReaqbBmQK"
Valor Club Resists,valor_club,Thu Jul 27 20:36:02 +0000 2017,"RT @DrugPolicyOrg: 619 Nevadans died from an overdose in 2015. How can @SenDeanHeller want to cut healthcare now?! No deal on repeal! #heal…"
Rita Almusaddar,ritasafa1,Thu Jul 27 20:35:40 +0000 2017,"العاهات كترت بشكل overdose"
UVic HSD,UVic_HSD,Thu Jul 27 20:35:40 +0000 2017,"RT @janephilpott: Thanks BC premier @jjhorgan for the opportunity to meet &amp; discuss important issues of mental health, addiction &amp; preventi…"
Thugaliciousssss ;),Overdose_OnKase,Thu Jul 27 20:35:18 +0000 2017,"RT @BullHunitProof: I bet those 6 words broke main man heart into a million pieces https://t.co/WxuAeVuiYs"
jasmineeeeee,shookjxsmine,Thu Jul 27 20:35:00 +0000 2017,"And you're a walking overdose  IN A GREAT COAT"
The Black Bond,LambriniPapi,Thu Jul 27 20:34:56 +0000 2017,"As much as I love my Nigerian dishes nowadays I can indulge, cause some feel like an overdose of carbs or fat (oil)."
ABC7 Eyewitness News,ABC7,Thu Jul 27 20:34:52 +0000 2017,"Man dies of apparent overdose at Santa Ana apartment; 2 others hospitalized https://t.co/ifuPWvdTsZ"
JNP💙,pAblO_Martinaz,Thu Jul 27 20:34:44 +0000 2017,"@overdose_off_me Don't worry baby girl u got it 💪🏽"
